Federal organization,Fiscal year,GHG source,GHG scope,Energy use (GJ),Emissions (kt),Energy use category,Data_present
"Innovation, Science and Economic Development Canada",2018-19,facilities,1,130,0,Low,True
"Innovation, Science and Economic Development Canada",2018-19,facilities,1,7,0,Low,True
"Innovation, Science and Economic Development Canada",2018-19,facilities,1,11945,0,Moderate,True
"Innovation, Science and Economic Development Canada",2018-19,facilities,2,11609,0,Moderate,True
"Innovation, Science and Economic Development Canada",2018-19,fleet,1,3286,0,Low,True
"Innovation, Science and Economic Development Canada",2018-19,fleet,1,31,0,Low,True
"Innovation, Science and Economic Development Canada",2018-19,fleet,1,95,0,Low,True
"Innovation, Science and Economic Development Canada",2018-19,fleet,1,12575,0,Moderate,True
"Innovation, Science and Economic Development Canada",2018-19,fleet,1,0,0,Low,True
Library and Archives Canada,2018-19,facilities,1,134,0,Low,True
Library and Archives Canada,2018-19,facilities,1,49099,2,Moderate,True
Library and Archives Canada,2018-19,facilities,2,45423,0,Moderate,True
National Defence,2018-19,facilities,1,302210,20,Moderate,True
National Defence,2018-19,facilities,1,9294,0,Low,True
National Defence,2018-19,facilities,1,140964,10,Moderate,True
National Defence,2018-19,facilities,1,292881,20,Moderate,True
National Defence,2018-19,facilities,1,323665,22,Moderate,True
National Defence,2018-19,facilities,1,77229,4,Moderate,True
National Defence,2018-19,facilities,1,5900064,291,High,True
National Defence,2018-19,facilities,2,689,0,Low,True
National Defence,2018-19,facilities,2,48658,4,Moderate,True
National Defence,2018-19,facilities,2,3403219,134,High,True
National Defence,2018-19,fleet,1,348,0,Low,True
National Defence,2018-19,fleet,1,221818,15,Moderate,True
National Defence,2018-19,fleet,1,633,0,Low,True
National Defence,2018-19,fleet,1,17942,1,Moderate,True
National Defence,2018-19,fleet,1,52774,3,Moderate,True
National Defence,2018-19,fleet,1,156090,10,Moderate,True
National Defence,2018-19,fleet,1,860,0,Low,True
National Research Council Canada,2018-19,facilities,1,4009,0,Low,True
National Research Council Canada,2018-19,facilities,1,5186,0,Low,True
National Research Council Canada,2018-19,facilities,1,15419,1,Moderate,True
National Research Council Canada,2018-19,facilities,1,4769,0,Low,True
National Research Council Canada,2018-19,facilities,1,556979,27,Moderate,True
National Research Council Canada,2018-19,facilities,2,10871,0,Moderate,True
National Research Council Canada,2018-19,facilities,2,47856,4,Moderate,True
National Research Council Canada,2018-19,facilities,2,453021,10,Moderate,True
National Research Council Canada,2018-19,fleet,1,449,0,Low,True
National Research Council Canada,2018-19,fleet,1,16452,1,Moderate,True
National Research Council Canada,2018-19,fleet,1,291,0,Low,True
National Research Council Canada,2018-19,fleet,1,1989,0,Low,True
National Research Council Canada,2018-19,fleet,1,1529,0,Low,True
National Research Council Canada,2018-19,fleet,1,1,0,Low,True
Natural Resources Canada,2018-19,facilities,1,9481,0,Low,True
Natural Resources Canada,2018-19,facilities,1,10649,0,Moderate,True
Natural Resources Canada,2018-19,facilities,1,1589,0,Low,True
Natural Resources Canada,2018-19,facilities,1,258756,12,Moderate,True
Natural Resources Canada,2018-19,facilities,2,462,0,Low,True
Natural Resources Canada,2018-19,facilities,2,13487,0,Moderate,True
Natural Resources Canada,2018-19,facilities,2,171980,5,Moderate,True
Natural Resources Canada,2018-19,fleet,1,1677,0,Low,True
Natural Resources Canada,2018-19,fleet,1,4,0,Low,True
Natural Resources Canada,2018-19,fleet,1,17,0,Low,True
Natural Resources Canada,2018-19,fleet,1,164,0,Low,True
Natural Resources Canada,2018-19,fleet,1,10319,0,Moderate,True
Parks Canada,2018-19,facilities,1,14853,1,Moderate,True
Parks Canada,2018-19,facilities,1,47413,3,Moderate,True
Parks Canada,2018-19,facilities,1,47788,2,Moderate,True
Parks Canada,2018-19,facilities,1,93791,4,Moderate,True
Parks Canada,2018-19,facilities,2,192937,10,Moderate,True
Parks Canada,2018-19,fleet,1,68509,4,Moderate,True
Parks Canada,2018-19,fleet,1,26281,1,Moderate,True
Parks Canada,2018-19,fleet,1,30040,1,Moderate,True
Parks Canada,2018-19,fleet,1,93718,6,Moderate,True
Parks Canada,2018-19,fleet,1,220,0,Low,True
Public Health Agency of Canada,2018-19,facilities,1,396,0,Low,True
Public Health Agency of Canada,2018-19,facilities,1,998,0,Low,True
Public Health Agency of Canada,2018-19,facilities,1,164457,8,Moderate,True
Public Health Agency of Canada,2018-19,facilities,2,78275,0,Moderate,True
Public Safety Canada,2018-19,facilities,1,1258,0,Low,True
Public Safety Canada,2018-19,facilities,1,62646,3,Moderate,True
Public Safety Canada,2018-19,facilities,2,88921,0,Moderate,True
Public Services and Procurement Canada,2018-19,facilities,1,1079,0,Low,True
Public Services and Procurement Canada,2018-19,facilities,1,62466,4,Moderate,True
Public Services and Procurement Canada,2018-19,facilities,1,8709,0,Low,True
Public Services and Procurement Canada,2018-19,facilities,1,1082558,53,High,True
Public Services and Procurement Canada,2018-19,facilities,2,349061,1,Moderate,True
Public Services and Procurement Canada,2018-19,facilities,2,55965,5,Moderate,True
Public Services and Procurement Canada,2018-19,facilities,2,525007,42,Moderate,True
Public Services and Procurement Canada,2018-19,facilities,2,2715162,21,High,True
Public Services and Procurement Canada,2018-19,fleet,1,2392,0,Low,True
Public Services and Procurement Canada,2018-19,fleet,1,8,0,Low,True
Public Services and Procurement Canada,2018-19,fleet,1,18,0,Low,True
Public Services and Procurement Canada,2018-19,fleet,1,82,0,Low,True
Public Services and Procurement Canada,2018-19,fleet,1,9661,0,Low,True
Royal Canadian Mounted Police,2018-19,facilities,1,16893,1,Moderate,True
Royal Canadian Mounted Police,2018-19,facilities,1,32966,2,Moderate,True
Royal Canadian Mounted Police,2018-19,facilities,1,42982,3,Moderate,True
Royal Canadian Mounted Police,2018-19,facilities,1,26658,1,Moderate,True
Royal Canadian Mounted Police,2018-19,facilities,1,783947,39,Moderate,True
Royal Canadian Mounted Police,2018-19,facilities,2,495614,38,Moderate,True
Royal Canadian Mounted Police,2018-19,fleet,1,3470,0,Low,True
Royal Canadian Mounted Police,2018-19,fleet,1,177,0,Low,True
Royal Canadian Mounted Police,2018-19,fleet,1,243,0,Low,True
Royal Canadian Mounted Police,2018-19,fleet,1,36864,2,Moderate,True
Royal Canadian Mounted Police,2018-19,fleet,1,0,0,Low,True
Shared Services Canada,2018-19,fleet,1,10220,0,Moderate,True
Transport Canada,2018-19,facilities,1,1478,0,Low,True
Transport Canada,2018-19,facilities,1,5345,0,Low,True
Transport Canada,2018-19,facilities,1,22404,1,Moderate,True
Transport Canada,2018-19,facilities,1,3410,0,Low,True
Transport Canada,2018-19,facilities,1,27007,1,Moderate,True
Transport Canada,2018-19,facilities,2,88324,1,Moderate,True
Transport Canada,2018-19,fleet,1,142352,9,Moderate,True
Transport Canada,2018-19,fleet,1,428815,30,Moderate,True
Transport Canada,2018-19,fleet,1,228,0,Low,True
Transport Canada,2018-19,fleet,1,125350,8,Moderate,True
Transport Canada,2018-19,fleet,1,32,0,Low,True
Agriculture and Agri-Food Canada,2019-20,facilities,1,3197,0,Low,True
Agriculture and Agri-Food Canada,2019-20,facilities,1,47437,3,Moderate,True
Agriculture and Agri-Food Canada,2019-20,facilities,1,977,0,Low,True
Agriculture and Agri-Food Canada,2019-20,facilities,1,457290,22,Moderate,True
Agriculture and Agri-Food Canada,2019-20,facilities,2,47763,4,Moderate,True
Agriculture and Agri-Food Canada,2019-20,facilities,2,441511,25,Moderate,True
Agriculture and Agri-Food Canada,2019-20,fleet,1,25281,1,Moderate,True
Agriculture and Agri-Food Canada,2019-20,fleet,1,20,0,Low,True
Agriculture and Agri-Food Canada,2019-20,fleet,1,2691,0,Low,True
Agriculture and Agri-Food Canada,2019-20,fleet,1,8987,0,Low,True
Agriculture and Agri-Food Canada,2019-20,fleet,1,24928,1,Moderate,True
Agriculture and Agri-Food Canada,2019-20,fleet,1,5,0,Low,True
Canada Border Services Agency,2019-20,facilities,1,2696,0,Low,True
Canada Border Services Agency,2019-20,facilities,1,7192,0,Low,True
Canada Border Services Agency,2019-20,facilities,1,4078,0,Low,True
Canada Border Services Agency,2019-20,facilities,1,61333,3,Moderate,True
Canada Border Services Agency,2019-20,facilities,2,121651,3,Moderate,True
Canada Border Services Agency,2019-20,fleet,1,2832,0,Low,True
Canada Border Services Agency,2019-20,fleet,1,15,0,Low,True
Canada Border Services Agency,2019-20,fleet,1,162,0,Low,True
Canada Border Services Agency,2019-20,fleet,1,61573,4,Moderate,True
Canada Border Services Agency,2019-20,fleet,1,1,0,Low,True
Canada Revenue Agency,2019-20,fleet,1,247,0,Low,True
Canada Revenue Agency,2019-20,fleet,1,1,0,Low,True
Canada Revenue Agency,2019-20,fleet,1,2878,0,Low,True
Canadian Food Inspection Agency,2019-20,facilities,1,415,0,Low,True
Canadian Food Inspection Agency,2019-20,facilities,1,12232,0,Moderate,True
Canadian Food Inspection Agency,2019-20,facilities,1,1083,0,Low,True
Canadian Food Inspection Agency,2019-20,facilities,1,189728,9,Moderate,True
Canadian Food Inspection Agency,2019-20,facilities,2,8780,0,Low,True
Canadian Food Inspection Agency,2019-20,facilities,2,107001,6,Moderate,True
Canadian Food Inspection Agency,2019-20,fleet,1,815,0,Low,True
Canadian Food Inspection Agency,2019-20,fleet,1,93,0,Low,True
Canadian Food Inspection Agency,2019-20,fleet,1,216,0,Low,True
Canadian Food Inspection Agency,2019-20,fleet,1,53608,3,Moderate,True
Canadian Forces Morale and Welfare Services,2019-20,facilities,1,10,0,Low,True
Canadian Forces Morale and Welfare Services,2019-20,facilities,1,9461,0,Low,True
Canadian Forces Morale and Welfare Services,2019-20,facilities,2,24749,0,Moderate,True
Canadian Space Agency,2019-20,facilities,1,284,0,Low,True
Canadian Space Agency,2019-20,facilities,1,20821,1,Moderate,True
Canadian Space Agency,2019-20,facilities,2,53137,0,Moderate,True
Canadian Space Agency,2019-20,fleet,1,84,0,Low,True
Canadian Space Agency,2019-20,fleet,1,391,0,Low,True
Correctional Service Canada,2019-20,facilities,1,12415,0,Moderate,True
Correctional Service Canada,2019-20,facilities,1,64074,4,Moderate,True
Correctional Service Canada,2019-20,facilities,1,7314,0,Low,True
Correctional Service Canada,2019-20,facilities,1,1424384,70,High,True
Correctional Service Canada,2019-20,facilities,2,760859,36,Moderate,True
Correctional Service Canada,2019-20,fleet,1,2405,0,Low,True
Correctional Service Canada,2019-20,fleet,1,45,0,Low,True
Correctional Service Canada,2019-20,fleet,1,86,0,Low,True
Correctional Service Canada,2019-20,fleet,1,43532,2,Moderate,True
Correctional Service Canada,2019-20,fleet,1,2,0,Low,True
Correctional Service Canada,2019-20,fleet,1,0,0,Low,True
Crown-Indigenous Relations and Northern Affairs Canada,2019-20,facilities,1,3109,0,Low,True
Crown-Indigenous Relations and Northern Affairs Canada,2019-20,facilities,1,10600,0,Moderate,True
Crown-Indigenous Relations and Northern Affairs Canada,2019-20,facilities,2,5362,1,Low,True
Crown-Indigenous Relations and Northern Affairs Canada,2019-20,fleet,1,1214,0,Low,True
Employment and Social Development Canada,2019-20,fleet,1,1,0,Low,True
Employment and Social Development Canada,2019-20,fleet,1,1,0,Low,True
Employment and Social Development Canada,2019-20,fleet,1,7,0,Low,True
Employment and Social Development Canada,2019-20,fleet,1,4529,0,Low,True
Environment and Climate Change Canada,2019-20,facilities,1,6611,0,Low,True
Environment and Climate Change Canada,2019-20,facilities,1,3581,0,Low,True
Environment and Climate Change Canada,2019-20,facilities,1,20563,1,Moderate,True
Environment and Climate Change Canada,2019-20,facilities,1,1514,0,Low,True
Environment and Climate Change Canada,2019-20,facilities,1,119884,5,Moderate,True
Environment and Climate Change Canada,2019-20,facilities,2,120584,2,Moderate,True
Environment and Climate Change Canada,2019-20,fleet,1,11390,0,Moderate,True
Environment and Climate Change Canada,2019-20,fleet,1,77,0,Low,True
Environment and Climate Change Canada,2019-20,fleet,1,673,0,Low,True
Environment and Climate Change Canada,2019-20,fleet,1,35488,2,Moderate,True
Environment and Climate Change Canada,2019-20,fleet,1,0,0,Low,True
Fisheries and Oceans Canada,2019-20,facilities,1,299,0,Low,True
Fisheries and Oceans Canada,2019-20,facilities,1,3090,0,Low,True
Fisheries and Oceans Canada,2019-20,facilities,1,37590,2,Moderate,True
Fisheries and Oceans Canada,2019-20,facilities,1,12506,0,Moderate,True
Fisheries and Oceans Canada,2019-20,facilities,1,100011,5,Moderate,True
Fisheries and Oceans Canada,2019-20,facilities,2,21884,1,Moderate,True
Fisheries and Oceans Canada,2019-20,facilities,2,237631,12,Moderate,True
Fisheries and Oceans Canada,2019-20,fleet,1,28024,2,Moderate,True
Fisheries and Oceans Canada,2019-20,fleet,1,111,0,Low,True
Fisheries and Oceans Canada,2019-20,fleet,1,573,0,Low,True
Fisheries and Oceans Canada,2019-20,fleet,1,78472,5,Moderate,True
Fisheries and Oceans Canada,2019-20,fleet,1,19,0,Low,True
Health Canada,2019-20,facilities,1,79,0,Low,True
Health Canada,2019-20,facilities,1,36935,1,Moderate,True
Health Canada,2019-20,facilities,2,32220,0,Moderate,True
Health Canada,2019-20,facilities,2,9272,0,Low,True
Health Canada,2019-20,facilities,2,90516,7,Moderate,True
Health Canada,2019-20,facilities,2,81915,0,Moderate,True
Health Canada,2019-20,fleet,1,123,0,Low,True
Health Canada,2019-20,fleet,1,13,0,Low,True
Health Canada,2019-20,fleet,1,5159,0,Low,True
"Immigration, Refugees and Citizenship Canada",2019-20,fleet,1,580,0,Low,True
Indigenous Services Canada,2019-20,fleet,1,11,0,Low,True
Indigenous Services Canada,2019-20,fleet,1,1,0,Low,True
Indigenous Services Canada,2019-20,fleet,1,34,0,Low,True
Indigenous Services Canada,2019-20,fleet,1,175,0,Low,True
Indigenous Services Canada,2019-20,fleet,1,30328,2,Moderate,True
"Innovation, Science and Economic Development Canada",2019-20,facilities,1,40,0,Low,True
"Innovation, Science and Economic Development Canada",2019-20,facilities,1,1,0,Low,True
"Innovation, Science and Economic Development Canada",2019-20,facilities,1,12011,0,Moderate,True
"Innovation, Science and Economic Development Canada",2019-20,facilities,2,11211,0,Moderate,True
"Innovation, Science and Economic Development Canada",2019-20,fleet,1,2396,0,Low,True
"Innovation, Science and Economic Development Canada",2019-20,fleet,1,17,0,Low,True
"Innovation, Science and Economic Development Canada",2019-20,fleet,1,84,0,Low,True
"Innovation, Science and Economic Development Canada",2019-20,fleet,1,11174,0,Moderate,True
Library and Archives Canada,2019-20,facilities,1,20,0,Low,True
Library and Archives Canada,2019-20,facilities,1,50162,2,Moderate,True
Library and Archives Canada,2019-20,facilities,2,46077,0,Moderate,True
National Battlefields Commission,2019-20,facilities,1,139,0,Low,True
National Battlefields Commission,2019-20,facilities,1,3094,0,Low,True
National Battlefields Commission,2019-20,facilities,2,4485,0,Low,True
National Defence,2019-20,facilities,1,303488,20,Moderate,True
National Defence,2019-20,facilities,1,4741,0,Low,True
National Defence,2019-20,facilities,1,113046,8,Moderate,True
National Defence,2019-20,facilities,1,246879,17,Moderate,True
National Defence,2019-20,facilities,1,291607,20,Moderate,True
National Defence,2019-20,facilities,1,74278,4,Moderate,True
National Defence,2019-20,facilities,1,6158199,302,High,True
National Defence,2019-20,facilities,2,619,0,Low,True
National Defence,2019-20,facilities,2,50671,4,Moderate,True
National Defence,2019-20,facilities,2,3315635,136,High,True
National Defence,2019-20,fleet,1,92,0,Low,True
National Defence,2019-20,fleet,1,213154,15,Moderate,True
National Defence,2019-20,fleet,1,232,0,Low,True
National Defence,2019-20,fleet,1,10107,0,Moderate,True
National Defence,2019-20,fleet,1,34855,2,Moderate,True
National Defence,2019-20,fleet,1,139815,9,Moderate,True
National Defence,2019-20,fleet,1,879,0,Low,True
National Defence,2019-20,fleet,1,0,0,Low,True
National Research Council Canada,2019-20,facilities,1,3379,0,Low,True
National Research Council Canada,2019-20,facilities,1,1298,0,Low,True
National Research Council Canada,2019-20,facilities,1,14217,1,Moderate,True
National Research Council Canada,2019-20,facilities,1,4543,0,Low,True
National Research Council Canada,2019-20,facilities,1,457716,22,Moderate,True
National Research Council Canada,2019-20,facilities,2,9265,0,Low,True
National Research Council Canada,2019-20,facilities,2,41159,3,Moderate,True
National Research Council Canada,2019-20,facilities,2,458316,9,Moderate,True
National Research Council Canada,2019-20,fleet,1,45,0,Low,True
National Research Council Canada,2019-20,fleet,1,13588,0,Moderate,True
National Research Council Canada,2019-20,fleet,1,147,0,Low,True
National Research Council Canada,2019-20,fleet,1,1803,0,Low,True
National Research Council Canada,2019-20,fleet,1,1143,0,Low,True
Natural Resources Canada,2019-20,facilities,1,92,0,Low,True
Natural Resources Canada,2019-20,facilities,1,9666,0,Low,True
Natural Resources Canada,2019-20,facilities,1,1228,0,Low,True
Natural Resources Canada,2019-20,facilities,1,248786,12,Moderate,True
Natural Resources Canada,2019-20,facilities,2,186,0,Low,True
Natural Resources Canada,2019-20,facilities,2,11906,0,Moderate,True
Natural Resources Canada,2019-20,facilities,2,171775,5,Moderate,True
Natural Resources Canada,2019-20,fleet,1,2051,0,Low,True
Natural Resources Canada,2019-20,fleet,1,15,0,Low,True
Natural Resources Canada,2019-20,fleet,1,97,0,Low,True
Natural Resources Canada,2019-20,fleet,1,9935,0,Low,True
Parks Canada,2019-20,facilities,1,15129,1,Moderate,True
Parks Canada,2019-20,facilities,1,44879,3,Moderate,True
Parks Canada,2019-20,facilities,1,47368,2,Moderate,True
Parks Canada,2019-20,facilities,1,100664,5,Moderate,True
Parks Canada,2019-20,facilities,2,204559,12,Moderate,True
Parks Canada,2019-20,fleet,1,70684,5,Moderate,True
Parks Canada,2019-20,fleet,1,28342,1,Moderate,True
Parks Canada,2019-20,fleet,1,32477,2,Moderate,True
Parks Canada,2019-20,fleet,1,81685,5,Moderate,True
Parks Canada,2019-20,fleet,1,50,0,Low,True
Public Health Agency of Canada,2019-20,facilities,1,1086,0,Low,True
Public Health Agency of Canada,2019-20,facilities,1,137148,6,Moderate,True
Public Health Agency of Canada,2019-20,facilities,2,74260,0,Moderate,True
Public Safety Canada,2019-20,facilities,1,1433,0,Low,True
Public Safety Canada,2019-20,facilities,1,61804,3,Moderate,True
Public Safety Canada,2019-20,facilities,2,86237,0,Moderate,True
Public Services and Procurement Canada,2019-20,facilities,1,725,0,Low,True
Public Services and Procurement Canada,2019-20,facilities,1,39793,2,Moderate,True
Public Services and Procurement Canada,2019-20,facilities,1,7110,0,Low,True
Public Services and Procurement Canada,2019-20,facilities,1,970639,48,Moderate,True
Public Services and Procurement Canada,2019-20,facilities,2,301895,1,Moderate,True
Public Services and Procurement Canada,2019-20,facilities,2,53433,5,Moderate,True
Public Services and Procurement Canada,2019-20,facilities,2,461522,37,Moderate,True
Public Services and Procurement Canada,2019-20,facilities,2,2624579,20,High,True
Public Services and Procurement Canada,2019-20,fleet,1,2095,0,Low,True
Public Services and Procurement Canada,2019-20,fleet,1,19,0,Low,True
Public Services and Procurement Canada,2019-20,fleet,1,53,0,Low,True
Public Services and Procurement Canada,2019-20,fleet,1,98,0,Low,True
Public Services and Procurement Canada,2019-20,fleet,1,9033,0,Low,True
Royal Canadian Mounted Police,2019-20,facilities,1,21168,1,Moderate,True
Royal Canadian Mounted Police,2019-20,facilities,1,35878,2,Moderate,True
Royal Canadian Mounted Police,2019-20,facilities,1,52898,3,Moderate,True
Royal Canadian Mounted Police,2019-20,facilities,1,28150,1,Moderate,True
Royal Canadian Mounted Police,2019-20,facilities,1,555319,27,Moderate,True
Royal Canadian Mounted Police,2019-20,facilities,2,464987,41,Moderate,True
Royal Canadian Mounted Police,2019-20,fleet,1,3071,0,Low,True
Royal Canadian Mounted Police,2019-20,fleet,1,155,0,Low,True
Royal Canadian Mounted Police,2019-20,fleet,1,749,0,Low,True
Royal Canadian Mounted Police,2019-20,fleet,1,31979,2,Moderate,True
Shared Services Canada,2019-20,facilities,1,239,0,Low,True
Shared Services Canada,2019-20,facilities,1,2315,0,Low,True
Shared Services Canada,2019-20,facilities,2,22911,0,Moderate,True
Shared Services Canada,2019-20,fleet,1,10207,0,Moderate,True
Transport Canada,2019-20,facilities,1,1240,0,Low,True
Transport Canada,2019-20,facilities,1,6174,0,Low,True
Transport Canada,2019-20,facilities,1,23810,1,Moderate,True
Transport Canada,2019-20,facilities,1,3750,0,Low,True
Transport Canada,2019-20,facilities,1,20519,1,Moderate,True
Transport Canada,2019-20,facilities,2,89011,1,Moderate,True
Transport Canada,2019-20,fleet,1,126344,8,Moderate,True
Transport Canada,2019-20,fleet,1,512378,36,Moderate,True
Transport Canada,2019-20,fleet,1,151,0,Low,True
Transport Canada,2019-20,fleet,1,18116,1,Moderate,True
Transport Canada,2019-20,fleet,1,17,0,Low,True
Agriculture and Agri-Food Canada,2020-21,facilities,1,36139,2,Moderate,True
Agriculture and Agri-Food Canada,2020-21,facilities,1,4313,0,Low,True
Agriculture and Agri-Food Canada,2020-21,facilities,1,987,0,Low,True
Agriculture and Agri-Food Canada,2020-21,facilities,1,429529,21,Moderate,True
Agriculture and Agri-Food Canada,2020-21,facilities,2,56905,4,Moderate,True
Agriculture and Agri-Food Canada,2020-21,facilities,2,383631,20,Moderate,True
Agriculture and Agri-Food Canada,2020-21,fleet,1,20210,1,Moderate,True
Agriculture and Agri-Food Canada,2020-21,fleet,1,2685,0,Low,True
Agriculture and Agri-Food Canada,2020-21,fleet,1,2239,0,Low,True
Agriculture and Agri-Food Canada,2020-21,fleet,1,12459,0,Moderate,True
Agriculture and Agri-Food Canada,2020-21,fleet,1,10,0,Low,True
Canada Border Services Agency,2020-21,facilities,1,8962,0,Low,True
Canada Border Services Agency,2020-21,facilities,1,2929,0,Low,True
Canada Border Services Agency,2020-21,facilities,1,3939,0,Low,True
Canada Border Services Agency,2020-21,facilities,1,63911,3,Moderate,True
Canada Border Services Agency,2020-21,facilities,2,124076,3,Moderate,True
Canada Border Services Agency,2020-21,fleet,1,2457,0,Low,True
Canada Border Services Agency,2020-21,fleet,1,190,0,Low,True
Canada Border Services Agency,2020-21,fleet,1,42,0,Low,True
Canada Border Services Agency,2020-21,fleet,1,49468,3,Moderate,True
Canada Border Services Agency,2020-21,fleet,1,2,0,Low,True
Canada Revenue Agency,2020-21,fleet,1,74,0,Low,True
Canada Revenue Agency,2020-21,fleet,1,1597,0,Low,True
Canadian Food Inspection Agency,2020-21,facilities,1,9340,0,Low,True
Canadian Food Inspection Agency,2020-21,facilities,1,889,0,Low,True
Canadian Food Inspection Agency,2020-21,facilities,1,460,0,Low,True
Canadian Food Inspection Agency,2020-21,facilities,1,763,0,Low,True
Canadian Food Inspection Agency,2020-21,facilities,1,186654,9,Moderate,True
Canadian Food Inspection Agency,2020-21,facilities,2,9929,0,Low,True
Canadian Food Inspection Agency,2020-21,facilities,2,95185,5,Moderate,True
Canadian Food Inspection Agency,2020-21,fleet,1,781,0,Low,True
Canadian Food Inspection Agency,2020-21,fleet,1,149,0,Low,True
Canadian Food Inspection Agency,2020-21,fleet,1,2,0,Low,True
Canadian Food Inspection Agency,2020-21,fleet,1,35943,2,Moderate,True
Canadian Forces Morale and Welfare Services,2020-21,facilities,1,56,0,Low,True
Canadian Forces Morale and Welfare Services,2020-21,facilities,1,6360,0,Low,True
Canadian Forces Morale and Welfare Services,2020-21,facilities,2,17287,0,Moderate,True
Canadian Space Agency,2020-21,facilities,1,633,0,Low,True
Canadian Space Agency,2020-21,facilities,1,19045,0,Moderate,True
Canadian Space Agency,2020-21,facilities,2,48073,0,Moderate,True
Canadian Space Agency,2020-21,fleet,1,56,0,Low,True
Canadian Space Agency,2020-21,fleet,1,38,0,Low,True
Correctional Service Canada,2020-21,facilities,1,61040,4,Moderate,True
Correctional Service Canada,2020-21,facilities,1,12054,0,Moderate,True
Correctional Service Canada,2020-21,facilities,1,7378,0,Low,True
Correctional Service Canada,2020-21,facilities,1,1436427,71,High,True
Correctional Service Canada,2020-21,facilities,2,739737,34,Moderate,True
Correctional Service Canada,2020-21,fleet,1,1071,0,Low,True
Correctional Service Canada,2020-21,fleet,1,43,0,Low,True
Correctional Service Canada,2020-21,fleet,1,23,0,Low,True
Correctional Service Canada,2020-21,fleet,1,23836,1,Moderate,True
Crown-Indigenous Relations and Northern Affairs Canada,2020-21,facilities,1,2378,0,Low,True
Crown-Indigenous Relations and Northern Affairs Canada,2020-21,facilities,2,981,0,Low,True
Crown-Indigenous Relations and Northern Affairs Canada,2020-21,fleet,1,259,0,Low,True
Employment and Social Development Canada,2020-21,fleet,1,505,0,Low,True
Environment and Climate Change Canada,2020-21,facilities,1,6935,0,Low,True
Environment and Climate Change Canada,2020-21,facilities,1,24091,1,Moderate,True
Environment and Climate Change Canada,2020-21,facilities,1,1614,0,Low,True
Environment and Climate Change Canada,2020-21,facilities,1,1600,0,Low,True
Environment and Climate Change Canada,2020-21,facilities,1,117781,5,Moderate,True
Environment and Climate Change Canada,2020-21,facilities,2,103124,2,Moderate,True
Environment and Climate Change Canada,2020-21,fleet,1,63,0,Low,True
Environment and Climate Change Canada,2020-21,fleet,1,8874,0,Low,True
Environment and Climate Change Canada,2020-21,fleet,1,471,0,Low,True
Environment and Climate Change Canada,2020-21,fleet,1,71,0,Low,True
Environment and Climate Change Canada,2020-21,fleet,1,1,0,Low,True
Environment and Climate Change Canada,2020-21,fleet,1,20007,1,Moderate,True
Fisheries and Oceans Canada,2020-21,facilities,1,33442,2,Moderate,True
Fisheries and Oceans Canada,2020-21,facilities,1,3128,0,Low,True
Fisheries and Oceans Canada,2020-21,facilities,1,241,0,Low,True
Fisheries and Oceans Canada,2020-21,facilities,1,10248,0,Moderate,True
Fisheries and Oceans Canada,2020-21,facilities,1,94485,4,Moderate,True
Fisheries and Oceans Canada,2020-21,facilities,2,26856,1,Moderate,True
Fisheries and Oceans Canada,2020-21,facilities,2,225795,11,Moderate,True
Fisheries and Oceans Canada,2020-21,fleet,1,24511,1,Moderate,True
Fisheries and Oceans Canada,2020-21,fleet,1,527,0,Low,True
Fisheries and Oceans Canada,2020-21,fleet,1,151,0,Low,True
Fisheries and Oceans Canada,2020-21,fleet,1,53783,3,Moderate,True
Fisheries and Oceans Canada,2020-21,fleet,1,15,0,Low,True
Health Canada,2020-21,facilities,1,38093,1,Moderate,True
Health Canada,2020-21,facilities,2,24741,0,Moderate,True
Health Canada,2020-21,facilities,2,65626,4,Moderate,True
Health Canada,2020-21,facilities,2,6645,0,Low,True
Health Canada,2020-21,facilities,2,78190,0,Moderate,True
Health Canada,2020-21,fleet,1,85,0,Low,True
Health Canada,2020-21,fleet,1,2,0,Low,True
Health Canada,2020-21,fleet,1,2290,0,Low,True
"Immigration, Refugees and Citizenship Canada",2020-21,fleet,1,346,0,Low,True
Indigenous Services Canada,2020-21,facilities,2,8906,0,Low,True
Indigenous Services Canada,2020-21,fleet,1,254,0,Low,True
Indigenous Services Canada,2020-21,fleet,1,128,0,Low,True
Indigenous Services Canada,2020-21,fleet,1,7,0,Low,True
Indigenous Services Canada,2020-21,fleet,1,19002,1,Moderate,True
Indigenous Services Canada,2020-21,fleet,1,1,0,Low,True
"Innovation, Science and Economic Development Canada",2020-21,facilities,1,60,0,Low,True
"Innovation, Science and Economic Development Canada",2020-21,facilities,1,251,0,Low,True
"Innovation, Science and Economic Development Canada",2020-21,facilities,1,10182,0,Moderate,True
"Innovation, Science and Economic Development Canada",2020-21,facilities,2,9121,0,Low,True
"Innovation, Science and Economic Development Canada",2020-21,fleet,1,464,0,Low,True
"Innovation, Science and Economic Development Canada",2020-21,fleet,1,5,0,Low,True
"Innovation, Science and Economic Development Canada",2020-21,fleet,1,2932,0,Low,True
Library and Archives Canada,2020-21,facilities,1,23,0,Low,True
Library and Archives Canada,2020-21,facilities,1,51773,2,Moderate,True
Library and Archives Canada,2020-21,facilities,2,45306,0,Moderate,True
National Battlefields Commission,2020-21,facilities,1,180,0,Low,True
National Battlefields Commission,2020-21,facilities,1,3841,0,Low,True
